CARRIER|ORIGIN,PASSENGERS_Sum,PASSENGERS_Count,PASSENGERS_Mean,SEATS_Sum,SEATS_Count,SEATS_Mean,DEPARTURES_PERFORMED_Sum,DEPARTURES_PERFORMED_Count,DEPARTURES_PERFORMED_Mean
02Q|AUS,1.000000,1,1.000000,60.000000,1,60.000000,1.000000,1,1.000000
02Q|MIA,10.000000,3,3.333333,180.000000,3,60.000000,3.000000,3,1.000000
02Q|STN,17.000000,6,2.833333,360.000000,6,60.000000,6.000000,6,1.000000
04Q|1B1,15.000000,4,3.750000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|1CT,4.000000,1,4.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|1N7,4.000000,1,4.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|1NY,9.000000,4,2.250000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|2FL,7.000000,3,2.333333,24.000000,3,8.000000,3.000000,3,1.000000
04Q|2GA,6.000000,2,3.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|3FL,11.000000,3,3.666667,24.000000,3,8.000000,3.000000,3,1.000000
04Q|3VA,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|5PA,5.000000,1,5.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|6B0,20.000000,7,2.857143,56.000000,7,8.000000,7.000000,7,1.000000
04Q|6PA,3.000000,1,3.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|ABE,14.000000,5,2.800000,40.000000,5,8.000000,5.000000,5,1.000000
04Q|ABY,8.000000,1,8.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|ACK,615.000000,154,3.993506,1568.000000,154,10.181818,196.000000,154,1.272727
04Q|ACY,65.000000,17,3.823529,144.000000,17,8.470588,18.000000,17,1.058824
04Q|AGC,42.000000,8,5.250000,72.000000,8,9.000000,9.000000,8,1.125000
04Q|AGS,11.000000,7,1.571429,64.000000,7,9.142857,8.000000,7,1.142857
04Q|AHN,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
