CARRIER|ORIGIN|REGION,PASSENGERS_Sum,PASSENGERS_Count,PASSENGERS_Mean,SEATS_Sum,SEATS_Count,SEATS_Mean,DEPARTURES_PERFORMED_Sum,DEPARTURES_PERFORMED_Count,DEPARTURES_PERFORMED_Mean
02Q|ANC|I,38.000000,1,38.000000,60.000000,1,60.000000,1.000000,1,1.000000
02Q|AUS|I,1.000000,1,1.000000,60.000000,1,60.000000,1.000000,1,1.000000
02Q|BFI|I,0.000000,1,0.000000,60.000000,1,60.000000,1.000000,1,1.000000
02Q|BGI|I,15.000000,1,15.000000,60.000000,1,60.000000,1.000000,1,1.000000
02Q|BOG|I,46.000000,1,46.000000,60.000000,1,60.000000,1.000000,1,1.000000
02Q|FLL|I,86.000000,3,28.666667,180.000000,3,60.000000,3.000000,3,1.000000
02Q|GYE|I,40.000000,1,40.000000,60.000000,1,60.000000,1.000000,1,1.000000
02Q|JFK|I,15.000000,1,15.000000,60.000000,1,60.000000,1.000000,1,1.000000
02Q|KOA|I,97.000000,2,48.500000,120.000000,2,60.000000,2.000000,2,1.000000
02Q|MCO|I,178.000000,5,35.600000,306.000000,5,61.200000,5.000000,5,1.000000
02Q|MIA|I,220.000000,7,31.428571,430.000000,7,61.428571,7.000000,7,1.000000
02Q|MSY|I,56.000000,1,56.000000,60.000000,1,60.000000,1.000000,1,1.000000
02Q|ONT|I,0.000000,1,0.000000,60.000000,1,60.000000,1.000000,1,1.000000
02Q|PAE|I,97.000000,2,48.500000,120.000000,2,60.000000,2.000000,2,1.000000
02Q|PDL|I,264.000000,4,66.000000,300.000000,4,75.000000,4.000000,4,1.000000
02Q|PTY|I,44.000000,1,44.000000,60.000000,1,60.000000,1.000000,1,1.000000
02Q|STN|I,131.000000,8,16.375000,550.000000,8,68.750000,16.000000,8,2.000000
04Q|1B1|D,15.000000,4,3.750000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|1CT|D,4.000000,1,4.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|1N7|D,4.000000,1,4.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|1NY|D,9.000000,4,2.250000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|2FL|D,7.000000,3,2.333333,24.000000,3,8.000000,3.000000,3,1.000000
04Q|2GA|D,6.000000,2,3.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|3FL|D,11.000000,3,3.666667,24.000000,3,8.000000,3.000000,3,1.000000
04Q|3VA|D,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|5PA|D,5.000000,1,5.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|6B0|D,20.000000,7,2.857143,56.000000,7,8.000000,7.000000,7,1.000000
04Q|6PA|D,3.000000,1,3.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|ABE|D,14.000000,5,2.800000,40.000000,5,8.000000,5.000000,5,1.000000
04Q|ABY|D,8.000000,1,8.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|ACK|D,7964.000000,201,39.621891,12864.000000,201,64.000000,1608.000000,201,8.000000
04Q|ACY|D,65.000000,17,3.823529,144.000000,17,8.470588,18.000000,17,1.058824
04Q|AGC|D,42.000000,8,5.250000,72.000000,8,9.000000,9.000000,8,1.125000
04Q|AGS|D,11.000000,7,1.571429,64.000000,7,9.142857,8.000000,7,1.142857
04Q|AHN|D,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|ALB|D,140.000000,44,3.181818,368.000000,44,8.363636,46.000000,44,1.045455
04Q|ANP|D,18.000000,6,3.000000,48.000000,6,8.000000,6.000000,6,1.000000
04Q|ANU|D,22.000000,5,4.400000,48.000000,5,9.600000,6.000000,5,1.200000
04Q|AOO|D,12.000000,4,3.000000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|APA|D,5.000000,2,2.500000,16.000000,2,8.000000,2.000000,2,1.000000
