CARRIER|ORIGIN|REGION,PASSENGERS_Sum,PASSENGERS_Count,PASSENGERS_Mean,SEATS_Sum,SEATS_Count,SEATS_Mean,DEPARTURES_PERFORMED_Sum,DEPARTURES_PERFORMED_Count,DEPARTURES_PERFORMED_Mean
AA|ATL|L,169.000000,1,169.000000,172.000000,1,172.000000,1.000000,1,1.000000
AA|JFK|A,796628.000000,117,6808.786325,979534.000000,117,8372.085470,3458.000000,117,29.555556
AA|JFK|D,819.000000,3,273.000000,880.000000,3,293.333333,3.000000,3,1.000000
AA|JFK|L,599558.000000,203,2953.487685,699788.000000,203,3447.231527,3600.000000,203,17.733990
AA|JFK|P,43912.000000,8,5489.000000,51284.000000,8,6410.500000,186.000000,8,23.250000
AA|LAX|A,215225.000000,24,8967.708333,276386.000000,24,11516.083333,953.000000,24,39.708333
AA|LAX|D,15765.000000,12,1313.750000,18050.000000,12,1504.166667,138.000000,12,11.500000
AA|LAX|L,137393.000000,79,1739.151899,157908.000000,79,1998.835443,936.000000,79,11.848101
AA|LAX|P,250005.000000,33,7575.909091,300258.000000,33,9098.727273,1166.000000,33,35.333333
AA|MIA|A,366590.000000,60,6109.833333,417592.000000,60,6959.866667,1535.000000,60,25.583333
AA|MIA|D,102286.000000,29,3527.103448,110343.000000,29,3804.931034,857.000000,29,29.551724
AA|MIA|L,5846920.000000,1522,3841.603154,6944680.000000,1522,4562.864652,40255.000000,1522,26.448752
AA|ORD|A,465404.000000,77,6044.207792,571529.000000,77,7422.454545,2138.000000,77,27.766234
AA|ORD|D,37287.000000,17,2193.352941,40207.000000,17,2365.117647,233.000000,17,13.705882
AA|ORD|L,304265.000000,117,2600.555556,334196.000000,117,2856.376068,1943.000000,117,16.606838
DL|ATL|A,1694508.000000,323,5246.154799,1900209.000000,323,5883.000000,7069.000000,323,21.885449
DL|ATL|D,328282.000000,62,5294.870968,373722.000000,62,6027.774194,2463.000000,62,39.725806
DL|ATL|L,3158226.000000,796,3967.620603,3593387.000000,796,4514.305276,18766.000000,796,23.575377
DL|ATL|P,233228.000000,24,9717.833333,294246.000000,24,12260.250000,978.000000,24,40.750000
DL|JFK|A,2072718.000000,423,4900.042553,2376198.000000,423,5617.489362,9801.000000,423,23.170213
DL|JFK|D,181.000000,3,60.333333,415.000000,3,138.333333,4.000000,3,1.333333
DL|JFK|L,1051297.000000,254,4138.964567,1195025.000000,254,4704.822835,6209.000000,254,24.444882
DL|LAX|A,86061.000000,21,4098.142857,116216.000000,21,5534.095238,405.000000,21,19.285714
DL|LAX|D,427.000000,11,38.818182,949.000000,11,86.272727,12.000000,11,1.090909
DL|LAX|L,332175.000000,120,2768.125000,364969.000000,120,3041.408333,2003.000000,120,16.691667
DL|LAX|P,250056.000000,44,5683.090909,329577.000000,44,7490.386364,1114.000000,44,25.318182
DL|MIA|D,239.000000,3,79.666667,288.000000,3,96.000000,4.000000,3,1.333333
DL|MIA|L,81380.000000,21,3875.238095,117003.000000,21,5571.571429,732.000000,21,34.857143
DL|ORD|D,247.000000,6,41.166667,605.000000,6,100.833333,6.000000,6,1.000000
UA|LAX|A,99656.000000,16,6228.500000,151497.000000,16,9468.562500,561.000000,16,35.062500
UA|LAX|D,87352.000000,52,1679.846154,98462.000000,52,1893.500000,599.000000,52,11.519231
UA|LAX|L,335230.000000,165,2031.696970,378477.000000,165,2293.800000,2215.000000,165,13.424242
UA|LAX|P,394290.000000,77,5120.649351,517751.000000,77,6724.038961,1908.000000,77,24.779221
UA|MIA|L,575.000000,4,143.750000,674.000000,4,168.500000,4.000000,4,1.000000
UA|ORD|A,971071.000000,193,5031.455959,1170919.000000,193,6066.937824,4802.000000,193,24.880829
UA|ORD|D,280633.000000,144,1948.840278,314939.000000,144,2187.076389,2120.000000,144,14.722222
UA|ORD|L,632267.000000,292,2165.297945,746210.000000,292,2555.513699,3972.000000,292,13.602740
UA|ORD|P,87847.000000,15,5856.466667,115691.000000,15,7712.733333,366.000000,15,24.400000
