CARRIER,ORIGIN,Sum,Count,Mean
02Q,ANC,3680.000000,1,3680.000000
02Q,AUS,1103.000000,1,1103.000000
02Q,BFI,2691.000000,1,2691.000000
02Q,BGI,2086.000000,1,2086.000000
02Q,BOG,1506.000000,1,1506.000000
02Q,FLL,2665.000000,3,888.333333
02Q,GYE,1941.000000,1,1941.000000
02Q,JFK,3471.000000,1,3471.000000
02Q,KOA,6528.000000,2,3264.000000
02Q,MCO,15288.000000,5,3057.600000
02Q,MIA,16328.000000,7,2332.571429
02Q,MSY,1369.000000,1,1369.000000
02Q,ONT,2551.000000,1,2551.000000
02Q,PAE,2850.000000,2,1425.000000
02Q,PDL,12996.000000,4,3249.000000
02Q,PTY,1873.000000,1,1873.000000
02Q,STN,36597.000000,8,4574.625000
04Q,1B1,1474.000000,4,368.500000
04Q,1CT,238.000000,1,238.000000
04Q,1N7,281.000000,1,281.000000
04Q,1NY,912.000000,4,228.000000
04Q,2FL,561.000000,3,187.000000
04Q,2GA,724.000000,2,362.000000
04Q,3FL,463.000000,3,154.333333
04Q,3VA,331.000000,1,331.000000
04Q,5PA,115.000000,1,115.000000
04Q,6B0,1401.000000,7,200.142857
04Q,6PA,72.000000,1,72.000000
04Q,ABE,1100.000000,5,220.000000
04Q,ABY,855.000000,1,855.000000
04Q,ACK,45670.000000,201,227.213930
04Q,ACY,3752.000000,17,220.705882
04Q,AGC,2310.000000,8,288.750000
04Q,AGS,4231.000000,7,604.428571
04Q,AHN,203.000000,1,203.000000
04Q,ALB,8435.000000,44,191.704545
04Q,ANP,1377.000000,6,229.500000
04Q,ANU,1389.000000,5,277.800000
04Q,AOO,734.000000,4,183.500000
04Q,APA,1634.000000,2,817.000000
04Q,APF,13020.000000,39,333.846154
04Q,ART,906.000000,4,226.500000
04Q,ASD,376.000000,2,188.000000
04Q,ASE,3520.000000,2,1760.000000
04Q,ASH,146.000000,1,146.000000
04Q,ATL,18.000000,1,18.000000
04Q,AUG,1248.000000,5,249.600000
04Q,AVL,947.000000,2,473.500000
04Q,AVP,740.000000,4,185.000000
04Q,AXA,8104.000000,18,450.222222
04Q,AZS,502.000000,2,251.000000
04Q,B19,407.000000,2,203.500000
04Q,B21,240.000000,1,240.000000
04Q,BAF,302.000000,2,151.000000
04Q,BBX,7795.000000,36,216.527778
04Q,BCT,6727.000000,29,231.965517
04Q,BDA,1457.000000,2,728.500000
04Q,BDL,5137.000000,15,342.466667
04Q,BDR,4734.000000,23,205.826087
04Q,BED,29388.000000,133,220.962406
04Q,BFD,222.000000,1,222.000000
04Q,BFT,2166.000000,6,361.000000
04Q,BGM,552.000000,4,138.000000
04Q,BGR,1999.000000,8,249.875000
04Q,BHB,8906.000000,33,269.878788
04Q,BID,3320.000000,24,138.333333
04Q,BIM,390.000000,6,65.000000
04Q,BKL,3682.000000,4,920.500000
04Q,BKW,213.000000,1,213.000000
04Q,BLM,6236.000000,34,183.411765
04Q,BML,530.000000,2,265.000000
04Q,BNA,2844.000000,4,711.000000
04Q,BOS,18669.000000,104,179.509615
04Q,BOW,403.000000,2,201.500000
04Q,BQN,359.000000,2,179.500000
04Q,BQU,980.000000,2,490.000000
04Q,BTP,617.000000,2,308.500000
04Q,BTV,11457.000000,51,224.647059
04Q,BUF,8023.000000,26,308.576923
04Q,BVY,1752.000000,10,175.200000
04Q,BWI,8619.000000,36,239.416667
04Q,BZN,1480.000000,1,1480.000000
04Q,CAE,614.000000,1,614.000000
04Q,CCZ,790.000000,5,158.000000
04Q,CDW,1649.000000,7,235.571429
04Q,CEF,362.000000,1,362.000000
04Q,CGF,1703.000000,4,425.750000
04Q,CGI,891.000000,1,891.000000
04Q,CHA,112.000000,1,112.000000
04Q,CHO,12876.000000,22,585.272727
04Q,CHS,1718.000000,4,429.500000
04Q,CIW,1004.000000,2,502.000000
04Q,CLE,1231.000000,3,410.333333
04Q,CLT,590.000000,1,590.000000
04Q,CMH,2754.000000,6,459.000000
04Q,CMI,825.000000,1,825.000000
04Q,CON,1367.000000,6,227.833333
04Q,CRG,4351.000000,19,229.000000
04Q,CT1,1283.000000,9,142.555556
04Q,CT5,88.000000,1,88.000000
04Q,CT7,363.000000,1,363.000000
04Q,CTH,1417.000000,5,283.400000
04Q,DAB,811.000000,4,202.750000
04Q,DAL,1395.000000,1,1395.000000
04Q,DAY,709.000000,1,709.000000
