CARRIER|ORIGIN|REGION,Sum,Count,Mean
9K|SDY|D,2940.000000,12,245.000000
4B|MSS|D,3144.000000,12,262.000000
9K|RKD|D,1824.000000,12,152.000000
PT|MHT|D,3468.000000,12,289.000000
9E|CWA|D,2100.000000,12,175.000000
QX|EAT|D,1188.000000,12,99.000000
ZW|MLI|D,1668.000000,12,139.000000
9E|ITH|D,2268.000000,12,189.000000
9X|LAF|D,952.000000,8,119.000000
ZW|EVV|D,1088.000000,4,272.000000
OO|VEL|D,259.000000,1,259.000000
9K|HVR|D,2376.000000,12,198.000000
9K|GDV|D,2412.000000,12,201.000000
OO|YYJ|D,1176.000000,12,98.000000
KG|MKG|D,236.000000,2,118.000000
KG|TVF|D,3132.000000,12,261.000000
KG|AIA|D,2160.000000,12,180.000000
FX|VIS|D,2208.000000,12,184.000000
KG|CEZ|D,7260.000000,24,302.500000
9X|DEN|D,3960.000000,24,165.000000
9X|LNS|D,3744.000000,24,156.000000
9X|ATL|D,3179.000000,11,289.000000
FX|NYL|D,1920.000000,12,160.000000
9X|BRL|D,3984.000000,24,166.000000
FX|IPL|D,1128.000000,12,94.000000
AA|KOA|D,64368.000000,24,2682.000000
OO|EAU|D,269.000000,1,269.000000
9X|MKL|D,5720.000000,22,260.000000
AA|RDU|A,46464.000000,12,3872.000000
G7|LNK|D,1864.000000,4,466.000000
C5|MLM|L,8613.000000,11,783.000000
ZW|CWA|D,2556.000000,12,213.000000
AA|MXP|A,47940.000000,12,3995.000000
KG|MKL|D,732.000000,2,366.000000
DL|PDX|A,50040.000000,10,5004.000000
B6|PQI|D,1332.000000,4,333.000000
QX|YYC|D,5436.000000,12,453.000000
KG|ORD|D,11053.000000,29,381.137931
KG|IWD|D,6252.000000,24,260.500000
KG|CVN|D,8988.000000,24,374.500000
9X|JBR|D,5100.000000,24,212.500000
M6|HGH|L,35240.000000,8,4405.000000
HA|NRT|P,45828.000000,12,3819.000000
AA|LAX|A,130944.000000,24,5456.000000
FX|MDE|L,16656.000000,12,1388.000000
PT|PIA|D,130.000000,1,130.000000
AA|PHX|A,52710.000000,10,5271.000000
HA|LGB|D,55808.000000,22,2536.727273
ZW|RST|D,3216.000000,12,268.000000
9X|PIT|D,5736.000000,48,119.500000
ZW|PIA|D,1560.000000,12,130.000000
9K|SLK|D,5664.000000,24,236.000000
HA|SYD|P,60792.000000,12,5066.000000
PT|BNA|D,4725.000000,7,675.000000
M6|SDQ|L,10176.000000,12,848.000000
5X|STN|A,48744.000000,12,4062.000000
FX|MID|L,8184.000000,12,682.000000
ZW|YYZ|D,1308.000000,3,436.000000
FX|CLM|D,864.000000,12,72.000000
QX|DLG|D,3619.000000,11,329.000000
MQ|RTB|L,2298.000000,3,766.000000
5X|UIO|L,21444.000000,12,1787.000000
FX|PIH|D,1800.000000,12,150.000000
FX|IYK|D,1332.000000,12,111.000000
5X|KIX|P,44160.000000,12,3680.000000
M6|ONT|D,2356.000000,1,2356.000000
FX|DLH|D,1728.000000,12,144.000000
KG|ALS|D,3759.000000,21,179.000000
KG|DEN|D,33351.000000,117,285.051282
FX|RDM|D,1392.000000,12,116.000000
FX|FLG|D,1428.000000,12,119.000000
9E|ORH|D,1752.000000,12,146.000000
G7|ACK|D,1090.000000,5,218.000000
WN|SNA|L,24720.000000,24,1030.000000
FX|SUN|D,2664.000000,12,222.000000
UA|GEO|L,26109.000000,9,2901.000000
DL|BER|A,23838.000000,6,3973.000000
YV|QRO|L,712.000000,1,712.000000
YV|ORF|D,1884.000000,12,157.000000
