CARRIER|ORIGIN|REGION,Sum,Count,Mean
DL|ATL|P,233228.000000,24,9717.833333
AA|LAX|A,215225.000000,24,8967.708333
AA|JFK|P,43912.000000,8,5489.000000
AA|MIA|A,366590.000000,60,6109.833333
AA|JFK|A,796628.000000,117,6808.786325
AA|ORD|A,465404.000000,77,6044.207792
AA|LAX|P,250005.000000,33,7575.909091
DL|JFK|L,1051297.000000,254,4138.964567
DL|ATL|L,3158226.000000,796,3967.620603
DL|ATL|D,328282.000000,62,5294.870968
DL|JFK|D,181.000000,3,60.333333
DL|LAX|A,86061.000000,21,4098.142857
DL|JFK|A,2072718.000000,423,4900.042553
AA|JFK|D,819.000000,3,273.000000
DL|LAX|L,332175.000000,120,2768.125000
UA|ORD|L,632267.000000,292,2165.297945
UA|ORD|P,87847.000000,15,5856.466667
UA|MIA|L,575.000000,4,143.750000
DL|ORD|D,247.000000,6,41.166667
UA|LAX|L,335230.000000,165,2031.696970
DL|LAX|D,427.000000,11,38.818182
UA|LAX|P,394290.000000,77,5120.649351
AA|LAX|D,15765.000000,12,1313.750000
UA|ORD|A,971071.000000,193,5031.455959
DL|ATL|A,1694508.000000,323,5246.154799
DL|MIA|L,81380.000000,21,3875.238095
UA|LAX|A,99656.000000,16,6228.500000
UA|ORD|D,280633.000000,144,1948.840278
DL|LAX|P,250056.000000,44,5683.090909
AA|JFK|L,599558.000000,203,2953.487685
AA|ORD|L,304265.000000,117,2600.555556
UA|LAX|D,87352.000000,52,1679.846154
AA|MIA|L,5846920.000000,1522,3841.603154
AA|LAX|L,137393.000000,79,1739.151899
DL|MIA|D,239.000000,3,79.666667
AA|ATL|L,169.000000,1,169.000000
AA|MIA|D,102286.000000,29,3527.103448
AA|ORD|D,37287.000000,17,2193.352941
