CARRIER|ORIGIN,PASSENGERS_Sum,PASSENGERS_Count,PASSENGERS_Mean,SEATS_Sum,SEATS_Count,SEATS_Mean,DEPARTURES_PERFORMED_Sum,DEPARTURES_PERFORMED_Count,DEPARTURES_PERFORMED_Mean
9K|ACK,0.000000,9,0.000000,0.000000,9,0.000000,0.000000,9,0.000000
9K|AXA,0.000000,4,0.000000,0.000000,4,0.000000,0.000000,4,0.000000
9K|BOS,0.000000,3,0.000000,0.000000,3,0.000000,0.000000,3,0.000000
9K|HPN,0.000000,8,0.000000,0.000000,8,0.000000,0.000000,8,0.000000
9K|JFK,0.000000,8,0.000000,0.000000,8,0.000000,0.000000,8,0.000000
9K|MBL,0.000000,2,0.000000,0.000000,2,0.000000,0.000000,2,0.000000
9K|MVY,0.000000,10,0.000000,0.000000,10,0.000000,0.000000,10,0.000000
9K|NEV,0.000000,3,0.000000,0.000000,3,0.000000,0.000000,3,0.000000
9K|ORD,0.000000,2,0.000000,0.000000,2,0.000000,0.000000,2,0.000000
9K|PVC,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
9K|SJU,0.000000,2,0.000000,0.000000,2,0.000000,0.000000,2,0.000000
9K|STT,0.000000,4,0.000000,0.000000,4,0.000000,0.000000,4,0.000000
9K|STX,0.000000,2,0.000000,0.000000,2,0.000000,0.000000,2,0.000000
9K|VIJ,0.000000,2,0.000000,0.000000,2,0.000000,0.000000,2,0.000000
9K|VQS,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|ATL,0.000000,2,0.000000,0.000000,2,0.000000,0.000000,2,0.000000
DL|BOS,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|CLE,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|CLT,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|DEN,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|DTW,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|EWR,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|FAY,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|GPT,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|HPN,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|IAD,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|IND,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|JFK,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|LAS,0.000000,2,0.000000,0.000000,2,0.000000,0.000000,2,0.000000
DL|LAX,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|MKC,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|MKE,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|MSP,0.000000,2,0.000000,0.000000,2,0.000000,0.000000,2,0.000000
DL|ORD,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|PHX,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|PIT,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|PTK,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|PVD,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|SDF,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|TPA,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|TYS,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|YUL,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|YYZ,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
NEW|BID,0.000000,4,0.000000,0.000000,4,0.000000,0.000000,4,0.000000
NEW|WST,0.000000,4,0.000000,0.000000,4,0.000000,0.000000,4,0.000000
