CARRIER|ORIGIN|REGION,PASSENGERS_Sum,PASSENGERS_Count,PASSENGERS_Mean,SEATS_Sum,SEATS_Count,SEATS_Mean,DEPARTURES_PERFORMED_Sum,DEPARTURES_PERFORMED_Count,DEPARTURES_PERFORMED_Mean
9K|ACK|D,0.000000,9,0.000000,0.000000,9,0.000000,0.000000,9,0.000000
9K|AXA|D,0.000000,4,0.000000,0.000000,4,0.000000,0.000000,4,0.000000
9K|BOS|D,0.000000,3,0.000000,0.000000,3,0.000000,0.000000,3,0.000000
9K|HPN|D,0.000000,8,0.000000,0.000000,8,0.000000,0.000000,8,0.000000
9K|JFK|D,0.000000,8,0.000000,0.000000,8,0.000000,0.000000,8,0.000000
9K|MBL|D,0.000000,2,0.000000,0.000000,2,0.000000,0.000000,2,0.000000
9K|MVY|D,0.000000,10,0.000000,0.000000,10,0.000000,0.000000,10,0.000000
9K|NEV|D,0.000000,3,0.000000,0.000000,3,0.000000,0.000000,3,0.000000
9K|ORD|D,0.000000,2,0.000000,0.000000,2,0.000000,0.000000,2,0.000000
9K|PVC|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
9K|SJU|D,0.000000,2,0.000000,0.000000,2,0.000000,0.000000,2,0.000000
9K|STT|D,0.000000,4,0.000000,0.000000,4,0.000000,0.000000,4,0.000000
9K|STX|D,0.000000,2,0.000000,0.000000,2,0.000000,0.000000,2,0.000000
9K|VIJ|D,0.000000,2,0.000000,0.000000,2,0.000000,0.000000,2,0.000000
9K|VQS|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|ATL|D,0.000000,2,0.000000,0.000000,2,0.000000,0.000000,2,0.000000
DL|BOS|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|CLE|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|CLT|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|DEN|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|DTW|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|EWR|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|FAY|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|GPT|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|HPN|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|IAD|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|IND|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|JFK|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|LAS|D,0.000000,2,0.000000,0.000000,2,0.000000,0.000000,2,0.000000
DL|LAX|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|MKC|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|MKE|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|MSP|D,0.000000,2,0.000000,0.000000,2,0.000000,0.000000,2,0.000000
DL|ORD|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|PHX|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|PIT|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|PTK|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|PVD|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|SDF|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|TPA|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|TYS|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|YUL|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
DL|YYZ|D,0.000000,1,0.000000,0.000000,1,0.000000,0.000000,1,0.000000
NEW|BID|D,0.000000,4,0.000000,0.000000,4,0.000000,0.000000,4,0.000000
NEW|WST|D,0.000000,4,0.000000,0.000000,4,0.000000,0.000000,4,0.000000
